,ชื่อย่อหลักทรัพย์,ชื่อเต็มหลักทรัพย์จดทะเบียน,ตลาด,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,Factsheet
43,K,บริษัท คิงส์เมน ซี.เอ็ม.ที.ไอ. จำกัด (มหาชน),mai,PROPCON,-,
44,KAMART,บริษัท คาร์มาร์ท จำกัด (มหาชน),SET,SERVICE,COMM,
45,KASET,บริษัท ไทยฮา จำกัด (มหาชน),mai,AGRO,-,
46,KBANK,ธนาคารกสิกรไทย จำกัด (มหาชน),SET,FINCIAL,BANK,
47,KBS,บริษัท น้ำตาลครบุรี จำกัด (มหาชน),SET,AGRO,FOOD,
48,KBSPIF,กองทุนรวมโครงสร้างพื้นฐานโรงไฟฟ้า กลุ่มน้ำตาลครบุรี,SET,RESOURC,ENERG,
49,KC,บริษัท เค.ซี. พร็อพเพอร์ตี้ จำกัด (มหาชน),SET,PROPCON,PROP,
50,KCAR,บริษัท กรุงไทยคาร์เร้นท์ แอนด์ ลีส จำกัด (มหาชน),SET,FINCIAL,FIN,
51,KCC,บริษัท บริหารสินทรัพย์ ไนท คลับ แคปปิตอล จำกัด (มหาชน),mai,FINCIAL,-,
52,KCE,บริษัท เคซีอี อีเลคโทรนิคส์ จำกัด (มหาชน),SET,TECH,ETRON,
53,KCM,บริษัท เค.ซี.เมททอลชีท จำกัด (มหาชน),mai,INDUS,-,
54,KDH,บริษัท ธนบุรี เมดิเคิล เซ็นเตอร์ จำกัด (มหาชน),SET,SERVICE,HELTH,
55,KEX,บริษัท เคอรี่ เอ็กซ์เพรส (ประเทศไทย) จำกัด (มหาชน),SET,SERVICE,TRANS,
56,KGEN,บริษัท คิง เจน จำกัด (มหาชน),mai,SERVICE,-,
57,KGI,บริษัทหลักทรัพย์ เคจีไอ (ประเทศไทย) จำกัด (มหาชน),SET,FINCIAL,FIN,
58,KIAT,บริษัท เกียรติธนา ขนส่ง จำกัด (มหาชน),SET,SERVICE,TRANS,
59,KISS,บริษัท โรจูคิส อินเตอร์เนชั่นแนล จำกัด (มหาชน),SET,CONSUMP,PERSON,
60,KJL,บริษัท กิจเจริญ เอ็นจิเนียริ่ง อีเลคทริค จำกัด (มหาชน),mai,INDUS,-,
61,KK,บริษัท เคแอนด์เค ซุปเปอร์สโตร์ เซาท์เทิร์น จำกัด (มหาชน),mai,SERVICE,-,
62,KKC,บริษัท กุลธรเคอร์บี้ จำกัด (มหาชน),SET,INDUS,IMM,
63,KKP,ธนาคารเกียรตินาคินภัทร จำกัด (มหาชน),SET,FINCIAL,BANK,
64,KLINIQ,บริษัท เดอะคลีนิกค์ คลินิกเวชกรรม จำกัด (มหาชน),mai,SERVICE,-,
65,KOOL,บริษัท มาสเตอร์คูล อินเตอร์เนชั่นแนล จำกัด (มหาชน),mai,SERVICE,-,
66,KPNPF,กองทุนรวมอสังหาริมทรัพย์เคพีเอ็น,SET,PROPCON,PF&REIT,
67,KSL,บริษัท น้ำตาลขอนแก่น จำกัด (มหาชน),SET,AGRO,FOOD,
68,KTB,ธนาคารกรุงไทย จำกัด (มหาชน),SET,FINCIAL,BANK,
69,KTBSTMR,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ เคทีบีเอสที มิกซ์,SET,PROPCON,PF&REIT,
70,KTC,บริษัท บัตรกรุงไทย จำกัด (มหาชน),SET,FINCIAL,FIN,
71,KTIS,บริษัท เกษตรไทย อินเตอร์เนชั่นแนล ชูการ์ คอร์ปอเรชั่น จำกัด (มหาชน),SET,AGRO,FOOD,
72,KTMS,บริษัท เคที เมดิคอล เซอร์วิส จำกัด (มหาชน),mai,SERVICE,-,
73,KUMWEL,บริษัท คัมเวล คอร์ปอเรชั่น จำกัด (มหาชน),mai,INDUS,-,
74,KUN,บริษัท วิลล่า คุณาลัย จำกัด (มหาชน),mai,PROPCON,-,
75,KWC,บริษัท กรุงเทพโสภณ จำกัด (มหาชน),SET,SERVICE,TRANS,
76,KWI,บริษัท เคดับบลิวไอ จำกัด (มหาชน),SET,FINCIAL,INSUR,
